time,value
2012-01-02 17:40,0.22821239
2012-01-02 17:45,0.231455175
2012-01-02 17:50,0.232671258
2012-01-02 17:55,0.223753574
2012-01-02 18:00,0.224158884
2012-01-02 18:05,0.221726821
2012-01-02 18:10,0.213619808
2012-01-02 18:15,0.210377024
2012-01-02 18:20,0.216051923
2012-01-02 18:25,0.213619808
2012-01-02 18:30,0.216862593
2012-01-02 18:35,0.211998416
2012-01-02 18:40,0.219700016
2012-01-02 18:45,0.407377342
2012-01-02 18:50,0.37981352
2012-01-02 18:55,0.269152815
2012-01-02 19:00,0.216862644
2012-01-02 19:05,0.219700016
2012-01-02 19:10,0.219700068
2012-01-02 19:15,0.218483985
2012-01-02 19:20,0.218078624
2012-01-02 19:25,0.212809086
2012-01-02 19:30,0.209971611
2012-01-02 19:35,0.207539549
2012-01-02 19:40,0.201053877
2012-01-02 19:45,0.201459289
2012-01-02 19:50,0.201459289
2012-01-02 19:55,0.218078676
2012-01-02 20:00,0.255370852
2012-01-02 20:05,0.278475859
2012-01-02 20:10,0.273611683
2012-01-02 20:15,0.2723956
2012-01-02 20:20,0.279691942
2012-01-02 20:25,0.31698417
2012-01-02 20:30,0.340494487
2012-01-02 20:35,0.417105799
2012-01-02 20:40,0.456830141
2012-01-02 20:45,0.504661548
2012-01-02 20:50,0.546412643
2012-01-02 20:55,0.589785131
2012-01-02 21:00,0.629104164
2012-01-02 21:05,0.496149122
2012-01-02 21:10,0.483583242
2012-01-02 21:15,0.476287003
2012-01-02 21:20,0.456830141
2012-01-02 21:25,0.445074983
2012-01-02 21:30,0.448317768
2012-01-02 21:35,0.483988655
2012-01-02 21:40,0.487231439
2012-01-02 21:45,0.46169437
2012-01-02 21:50,0.460478287
2012-01-02 21:55,0.462099679
2012-01-02 22:00,0.490474224
2012-01-02 22:05,0.486420717
2012-01-02 22:10,0.453181996
2012-01-02 22:15,0.484393964
2012-01-02 22:20,0.480745819
2012-01-02 22:25,0.477097673
2012-01-02 22:30,0.481151128
2012-01-02 22:35,0.483988655
2012-01-02 22:40,
2012-01-02 22:45,
2012-01-02 22:50,
2012-01-02 22:55,
2012-01-02 23:00,
2012-01-02 23:05,
2012-01-02 23:10,
2012-01-02 23:15,
2012-01-02 23:20,
2012-01-02 23:25,
2012-01-02 23:30,
2012-01-02 23:35,
2012-01-02 23:40,0.483988655
2012-01-02 23:45,0.462099679
2012-01-02 23:50,0.459667565
2012-01-02 23:55,0.451560552
2012-01-03 0:00,0.442642817
2012-01-03 0:05,0.454803388
2012-01-03 0:10,0.440616116
2012-01-03 0:15,0.438994672
2012-01-03 0:20,0.438994672
2012-01-03 0:25,0.431293072
2012-01-03 0:30,0.432103793
2012-01-03 0:35,0.432509103
2012-01-03 0:40,0.406566672
2012-01-03 0:45,0.323469791
2012-01-03 0:50,0.292663183
2012-01-03 0:55,0.282934727
2012-01-03 1:00,0.280502613
2012-01-03 1:05,0.270368846
2012-01-03 1:10,0.252938738
2012-01-03 1:15,0.25293879
2012-01-03 1:20,0.250911985
2012-01-03 1:25,0.254965543
2012-01-03 1:30,0.233887289
2012-01-03 1:35,0.235508681
2012-01-03 1:40,0.233481928
2012-01-03 1:45,0.239562187
2012-01-03 1:50,0.244831725
2012-01-03 1:55,0.246047808
2012-01-03 2:00,0.236319403
2012-01-03 2:05,0.232671206
2012-01-03 2:10,0.226590998
2012-01-03 2:15,0.227807029
2012-01-03 2:20,0.231860536
2012-01-03 2:25,0.233076618
2012-01-03 2:30,0.237535486
2012-01-03 2:35,0.232265897
2012-01-03 2:40,0.231049865
2012-01-03 2:45,0.402513114
2012-01-03 2:50,0.407377394
2012-01-03 2:55,0.368869032
2012-01-03 3:00,0.266720701
2012-01-03 3:05,0.225374967
2012-01-03 3:10,0.222132182
2012-01-03 3:15,0.219294707
2012-01-03 3:20,0.216862593
2012-01-03 3:25,0.216457232
2012-01-03 3:30,0.21564651
2012-01-03 3:35,0.214430479
2012-01-03 3:40,0.213619808
2012-01-03 3:45,0.213619808
2012-01-03 3:50,0.232671206
